REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tp9964b10c_4f87_4cdb_8d64_3efd17a5cfeb.wav	 /tmp/tpca827619_3c1c_4c39_a398_f728e5acb108.wav	 2.191	 1.799	 8000	nb
/tmp/tpf7dce9fd_f035_43d2_9955_60c2516cbf09.wav	 /tmp/tpc25ffc4b_ff51_43fe_9615_5324b0c71a27.wav	 1.509	 1.330	 8000	nb
/tmp/tp56588672_06ab_498d_8dd0_803582ca7eef.wav	 /tmp/tp2445b561_cec2_4fe4_97c5_5c35c9399fb7.wav	 2.192	 1.800	 8000	nb
/tmp/tp05fd0e7e_b5c4_4894_9317_13a8222ded1c.wav	 /tmp/tp93997932_002f_423d_a513_7c6ad7442057.wav	 1.698	 1.427	 8000	nb
/tmp/tp298b34e8_e043_4055_994f_65ca06f2bbcd.wav	 /tmp/tp0f27f921_8367_435e_bc53_52d453cc007c.wav	 2.210	 1.817	 8000	nb
/tmp/tp01041c30_26f4_4eed_bb30_6792b7f54d66.wav	 /tmp/tp9468f0b5_2155_4d56_9c5d_df2f05ab932f.wav	 1.674	 1.413	 8000	nb
/tmp/tpcb6a9627_1c9d_49b9_9732_6e2e78a26c25.wav	 /tmp/tpa7a1610f_5702_42f3_92ab_432b09a65272.wav	 2.209	 1.817	 8000	nb
/tmp/tpa13656de_197f_4e07_b8c6_a7b6bc7d95ab.wav	 /tmp/tp31688ebb_8776_45ec_8686_2d55b7a57860.wav	 2.858	 2.614	 8000	nb
/tmp/tpe8463bdd_f3fc_48f8_a186_11e57c9b984c.wav	 /tmp/tpdb278aca_35af_4a09_856d_12c176003b71.wav	 1.216	 1.219	 8000	nb
/tmp/tp57fc1923_1a9f_4029_8422_2637584cc0f0.wav	 /tmp/tpe66cb8b4_9090_43e0_9a37_1c2c7bb45db3.wav	 1.500	 1.326	 8000	nb
/tmp/tp3e78aaa9_e8c4_4053_9757_ca28ddc0d7ce.wav	 /tmp/tpe347c4b7_25cb_4268_bc46_812e9409b67b.wav	 1.099	 1.186	 8000	nb
/tmp/tpd987e93a_e885_48a6_ac76_025c3699bfc0.wav	 /tmp/tpe001d3b3_0e21_4301_bf91_8b631395e64f.wav	 1.371	 1.272	 8000	nb
/tmp/tp6e2ec016_0270_4d85_9529_c71fe425b3d9.wav	 /tmp/tpcf754331_e24f_4d2b_baf7_1fd0c6c9d559.wav	 1.419	 1.291	 8000	nb
/tmp/tpaa09fda7_41d5_44cd_8646_fcf1017f3a91.wav	 /tmp/tp6db4de60_c182_49d9_a941_836806a0e91c.wav	 1.415	 1.290	 8000	nb
/tmp/tp387dcfba_f7e5_4b1c_8b85_4e75e660d6f4.wav	 /tmp/tp5d9fbcb7_9ee5_46f9_ac45_0be4d7a6b1a9.wav	 1.508	 1.329	 8000	nb
/tmp/tp5d3e6c83_8c11_4bff_b3e7_fc4a3dff76b4.wav	 /tmp/tp1cb31e96_fe7c_47d9_8fbc_2f5428ea80bb.wav	 1.170	 1.205	 8000	nb
/tmp/tpb2cf2745_e793_4c3e_83e2_61349c3fa856.wav	 /tmp/tp551fb5b4_1b1a_454c_b282_1884146d86ca.wav	 1.325	 1.256	 8000	nb
/tmp/tpa5f0cc18_d3c0_4499_a06d_da0396a6fe7f.wav	 /tmp/tpad935a52_463b_41a5_be1e_8d133a4da5e8.wav	 1.093	 1.184	 8000	nb
/tmp/tp311ecd92_0fb8_4663_b7ca_4e1c66cd6090.wav	 /tmp/tp1de00bcb_d710_412b_b049_1693f51eab2f.wav	 1.549	 1.349	 8000	nb
/tmp/tpa6f3ca65_a30e_482b_89d2_8c6d0b960ffd.wav	 /tmp/tpd872f99d_2956_4f90_9892_03adea9389f4.wav	 1.344	 1.262	 8000	nb
/tmp/tp93c01049_c999_4800_85d9_2efabd0ecfeb.wav	 /tmp/tpf4a0dde7_a26e_4cb4_8bdd_39553d6ccfe1.wav	 1.390	 1.280	 8000	nb
/tmp/tpedc24328_85bb_4f0a_8bb7_1187d2f267b8.wav	 /tmp/tp24d43948_21bb_4afa_a881_99eff9ef169b.wav	 1.379	 1.276	 8000	nb
/tmp/tp68f1e023_d06b_48fb_aaa8_950d36d8f137.wav	 /tmp/tp4459ec93_a839_43cc_9c33_5d35f5dad506.wav	 1.440	 1.300	 8000	nb
/tmp/tpb015acb8_450d_4f1e_8e8d_f362bb329f79.wav	 /tmp/tp3398ecfd_aaab_44e4_b75e_82e13533beb9.wav	 1.097	 1.185	 8000	nb
/tmp/tp9ae68878_60d7_4e60_96c7_0853c9305eef.wav	 /tmp/tp5136d486_8a1d_4450_bc73_51ded1b9a65e.wav	 1.451	 1.305	 8000	nb
/tmp/tp8e0216a0_53b2_4193_ad95_9d45a7c8bb23.wav	 /tmp/tp9249575c_8016_4c18_b206_1bd6d06c7d07.wav	 1.543	 1.346	 8000	nb
/tmp/tp7719a5a5_815b_43cd_9dda_566ac304ba32.wav	 /tmp/tp77abadee_69ae_43bd_888e_cdb3db965290.wav	 1.569	 1.358	 8000	nb
